name,group,city,state,iata,latitude,longitude
Emanuel Ulises Perez Zenteno,10510200,Dublin,Ohio,212,40.0991667,-83.1141667
Kentaro Yoshimura,10510200,Dublin,Ohio,213,40.0991667,-83.1141667
Wesley W. Kim,10510200,Dublin,Ohio,214,40.0991667,-83.1141667
Chyuan Y. Muh,10510200,Powell,Ohio,215,40.1577778,-83.0752778
Tyler J. Rupp,10510200,Radnor,Ohio,216,40.3841667,-83.1508333
Douglas R. Reed,10510200,Marysville,Ohio,217,40.2363889,-83.3672222
Spencer A. Kennedy,10510200,Columbus,Ohio,218,39.9611111,-82.9988889
Jeffrey M. Fowler,10510201,Rochester,New York,219,43.1547222,-77.6158333
Benjamin Merkel,10510205,Henderson,Nevada,220,36.0397222,-114.9811111
John Pariseau,10510205,Las Vegas,Nevada,221,36.175,-115.1363889
Martin S. Lyons,10510207,Henderson,Nevada,222,36.0397222,-114.9811111
Ronald Gray,10510207,Las Vegas,Nevada,223,36.175,-115.1363889
Dominic M. Kotab,10510208,San Jose,California,224,37.3394444,-121.8938889
David C. Williams,10510210,Nicholasville,Kentucky,225,37.8805556,-84.5730556
William H. Jackson,10510210,Parkton,Maryland,226,39.6408333,-76.6594444
Calvin J. Martin,10510210,Blacksburg,Virginia,227,37.2294444,-80.4141667
Eric Meyerhofer,10510213,Pasadena,California,228,34.1477778,-118.1436111
Frank Cire,10510213,Pasadena,California,229,34.1477778,-118.1436111
Ivan Souffront,10510213,Burbank,California,230,34.1808333,-118.3080556
Howard W. Lutnick,10510214,New York,New York,231,40.7141667,-74.0063889
Lee Amaitis,10510214,London,,232,,
Joseph M. Asher,10510214,New York,New York,233,40.7141667,-74.0063889
Alan B. Wilkins,10510214,Raleigh,North Carolina,234,35.7719444,-78.6388889
Robert F. Bahrampour,10510214,New York,New York,235,40.7141667,-74.0063889
Darrin M. Mylet,10510214,Tampa,Florida,236,27.9472222,-82.4586111
Miles Arnone,10510215,Sherborn,Massachusetts,237,42.2388889,-71.3702778
Caitlyn Ross,10510215,Watertown,Massachusetts,238,42.3708333,-71.1833333
Richard Grabowski,10510216,Greenville,South Carolina,239,34.8525,-82.3941667
David Waters,10510216,Las Vegas,Nevada,240,36.175,-115.1363889
Neil Monastersky,10510217,Monroe,New York,241,41.3305556,-74.1872222
Steven Klinghoffer,10510217,Grass Valley,California,242,39.2191667,-121.06
Gary M. Zalewski,10510219,Piedmont,California,243,37.8244444,-122.2305556
Albert S. Penilla,10510219,Sunnyvale,California,244,37.3688889,-122.0352778
"John E. Moore, Jr.",10510220,Pflugerville,Texas,245,30.4391667,-97.6197222
Janet Van,10510220,Round Rock,Texas,246,30.5080556,-97.6786111
Kenneth Glover,10510222,Southlake,Texas,247,32.9411111,-97.1338889
Scott Eddins,10510222,Southlake,Texas,248,32.9411111,-97.1338889
Jere C. Harrison,10510224,San Jose,California,249,37.3394444,-121.8938889
Yi-Heng Sen,10510224,San Jose,California,250,37.3394444,-121.8938889
Alex J. Speltz,10510224,San Francisco,California,251,37.775,-122.4183333
John V. Siglock,10510226,Kansas City,Missouri,252,39.0997222,-94.5783333
Greg King,10510227,San Diego,California,253,32.7152778,-117.1563889
Steve Deal,10510227,San Diego,California,254,32.7152778,-117.1563889
Barry Baldwin,10510227,San Diego,California,255,32.7152778,-117.1563889
Bill Kepner,10510227,San Diego,California,256,32.7152778,-117.1563889
Derek Morikawa,10510227,San Diego,California,257,32.7152778,-117.1563889
Jeffrey A. Grant,10510228,Charlotte,North Carolina,258,35.2269444,-80.8433333
Christopher J. Fawcett,10510228,Charlotte,North Carolina,259,35.2269444,-80.8433333
Kyle Baker,10510228,Waxhaw,North Carolina,260,34.9244444,-80.7436111
Tri Nguyen,10510230,Santa Clara,California,261,37.3541667,-121.9541667
Weldon T. Bailey,10510231,Wylie,Texas,262,33.015,-96.5386111
Daniel P. Gibbs,10510231,Sachse,Texas,263,32.9761111,-96.595
Mark J. Hillebrand,10510231,Garland,Texas,264,32.9125,-96.6386111
Stacy K. Kniffen,10510231,Richardson,Texas,265,32.9480556,-96.7294444
Stephen R. Erbert,10510231,Rowlett,Texas,266,32.9027778,-96.5636111
James Siminoff,10510232,Santa Monica,California,267,34.0194444,-118.4902778
Joshua Roth,10510232,Santa Monica,California,268,34.0194444,-118.4902778
Elliott Lemberger,10510232,Santa Monica,California,269,34.0194444,-118.4902778
John Modestine,10510232,Los Angeles,California,270,34.0522222,-118.2427778
Melvin G. Duran,10510233,Los Alamos,New Mexico,271,35.8880556,-106.3063889
Mark A. Stibich,10510236,Santa Fe,New Mexico,272,35.6869444,-105.9372222
Sarah E. Simmons,10510236,San Antonio,Texas,273,29.4238889,-98.4933333
"Edward C. Guerrero, Jr.",10510236,San Antonio,Texas,274,29.4238889,-98.4933333
Paul P. Froutan,10510236,Katy,Texas,275,29.7855556,-95.8241667
Joseph Taber,10510236,San Antonio,Texas,276,29.4238889,-98.4933333
Nicholas Whitelonis,10510236,San Antonio,Texas,277,29.4238889,-98.4933333
Bradly Jay Billman,10510238,Prosper,Texas,278,33.2361111,-96.8008333
Cory Matheson,10510238,Prosper,Texas,279,33.2361111,-96.8008333
Kade Scott,10510238,The Colony,Texas,280,33.0888889,-96.8861111
Benjamin D. Ethington,10510238,Fruit Heights,Utah,281,41.0322222,-111.9013889
Matthew T. Flachsbart,10510238,Grapevine,Texas,282,32.9341667,-97.0777778
Michael Lamb,10510242,Rancho Santa Fe,California,283,33.0202778,-117.2019444
Kelly S. Harrelson,10510244,Holland,Michigan,284,42.7875,-86.1088889
Thomas D. Klaver,10510244,Ada,Michigan,285,42.9541667,-85.4888889
Todd R. Witkowski,10510244,Zeeland,Michigan,286,42.8125,-86.0186111
Kevin J. Key,10510244,Holland,Michigan,287,42.7875,-86.1088889
"Steven L. Willard, II",10510244,Holland,Michigan,288,42.7875,-86.1088889
Shiyong Zhang,10510245,Boxborough,Massachusetts,289,,
Eric Allen,10510251,Long Beach,California,290,33.7669444,-118.1883333
David Edward Mordetzky,10510251,Oak Park,California,291,34.1791667,-118.7619444
Ronald Cozean,10510251,Madison,Connecticut,292,41.2794444,-72.5988889
Michael Chang,10510251,Long Beach,California,293,33.7669444,-118.1883333
Megan Horvath,10510251,Cleveland,Ohio,294,41.4994444,-81.6955556
John Elwood,10510251,Santa Ana,California,295,33.7455556,-117.8669444
Anthony John Pyros,10510251,Cleveland,Ohio,296,41.4994444,-81.6955556
Steven Rosen,10510251,Hunting Valley,Ohio,297,41.4891667,-81.4019444
Elie Attarian,10510251,Calabasas,California,298,34.1577778,-118.6375
Kapil Gulati,10510252,Dover,Delaware,299,39.1580556,-75.5247222
Junyi Li,10510252,Mount Olive,New Jersey,300,40.8513889,-74.7333333
Zhibin Wu,10510252,Bedminster,New Jersey,301,40.6805556,-74.6458333
Sudhir Kumar Baghel,10510252,Bound Brook,New Jersey,302,40.5683333,-74.5388889
Georgios Tsirtsis,10510252,London,,303,,
Durga Prasad Malladi,10510252,San Diego,California,304,32.7152778,-117.1563889
Shailesh Patil,10510252,Raritan,New Jersey,305,40.5694444,-74.6333333
Tien Viet Nguyen,10510252,Bound Brook,New Jersey,306,40.5683333,-74.5388889
Libin Jiang,10510252,Bound Brook,New Jersey,307,40.5683333,-74.5388889
Robert Brandriff,10510256,Brooklyn,Connecticut,308,41.7880556,-71.9502778
Kristen Brandriff,10510256,Brooklyn,Connecticut,309,41.7880556,-71.9502778
Vivek Garg,10510259,San Mateo,California,310,37.5630556,-122.3244444
Ritu Narayan,10510259,Redwood City,California,311,37.4852778,-122.2352778
Abhishek Garg,10510259,Cambridge,Massachusetts,312,42.375,-71.1061111
Lee Priest,10510260,Charlotte,North Carolina,313,35.2269444,-80.8433333
Christopher Cacioppo,10510263,Somerville,Massachusetts,314,42.3875,-71.1
Manuel Perez,10510263,Somerville,Massachusetts,315,42.3875,-71.1
Brian Prendergast,10510263,Arlington,Massachusetts,316,42.4152778,-71.1569444
David J. Dean,10510263,Cambridge,Massachusetts,317,42.375,-71.1061111
Krishna Vedati,10510264,Los Altos,California,318,37.3852778,-122.1130556
Kelvin Voon-Kit Chong,10510264,Mountain View,California,319,37.3861111,-122.0827778
Vidya S. Mandyam,10510264,Los Altos,California,320,37.3852778,-122.1130556
Srinivas A. Mandyam,10510264,Los Altos,California,321,37.3852778,-122.1130556
Ardaman Singh,10510265,Union City,California,322,37.5958333,-122.0180556
